Price,Close,High,Low,Open,Volume
2012-09-18,0.4933770000934601,0.4933770000934601,0.4933770000934601,0.4933770000934601,0
2012-09-19,0.4933770000934601,0.4933770000934601,0.4933770000934601,0.4933770000934601,0
2012-09-20,0.4933770000934601,0.4933770000934601,0.4933770000934601,0.4933770000934601,0
2012-09-23,0.4933770000934601,0.4933770000934601,0.4933770000934601,0.4933770000934601,0
2012-09-24,0.4933770000934601,0.4933770000934601,0.4933770000934601,0.4933770000934601,0
2012-09-25,0.4933770000934601,0.4933770000934601,0.4933770000934601,0.4933770000934601,0
2012-09-26,0.4933770000934601,0.4933770000934601,0.4933770000934601,0.4933770000934601,0
2012-09-27,0.4933770000934601,0.4933770000934601,0.4933770000934601,0.4933770000934601,0
2012-09-30,0.4933770000934601,0.4933770000934601,0.4933770000934601,0.4933770000934601,0
2012-10-01,0.4933770000934601,0.4933770000934601,0.4933770000934601,0.4933770000934601,0
2012-10-02,0.4933770000934601,0.4933770000934601,0.4933770000934601,0.4933770000934601,0
2012-10-03,0.4933770000934601,0.4933770000934601,0.4933770000934601,0.4933770000934601,0
2012-10-04,0.4933770000934601,0.4933770000934601,0.4933770000934601,0.4933770000934601,0
2012-10-07,0.4933770000934601,0.4933770000934601,0.4933770000934601,0.4933770000934601,0
2012-10-08,0.4933770000934601,0.4933770000934601,0.4933770000934601,0.4933770000934601,0
2012-10-09,0.4933770000934601,0.4933770000934601,0.4933770000934601,0.4933770000934601,0
2012-10-10,0.4933770000934601,0.4933770000934601,0.4933770000934601,0.4933770000934601,0
2012-10-11,0.4933770000934601,0.4933770000934601,0.4933770000934601,0.4933770000934601,0
2012-10-14,0.4933770000934601,0.4933770000934601,0.4933770000934601,0.4933770000934601,0
2012-10-15,0.4933770000934601,0.4933770000934601,0.4933770000934601,0.4933770000934601,0
2012-10-16,0.4933770000934601,0.4933770000934601,0.4933770000934601,0.4933770000934601,0
2012-10-17,0.4933770000934601,0.4933770000934601,0.4933770000934601,0.4933770000934601,0
2012-10-18,0.4933770000934601,0.4933770000934601,0.4933770000934601,0.4933770000934601,0
2012-10-21,0.4933770000934601,0.4933770000934601,0.4933770000934601,0.4933770000934601,0
2012-10-22,0.4933770000934601,0.4933770000934601,0.4933770000934601,0.4933770000934601,0
2012-10-23,0.4933770000934601,0.4933770000934601,0.4933770000934601,0.4933770000934601,0
2012-10-24,0.4933770000934601,0.4933770000934601,0.4933770000934601,0.4933770000934601,0
2012-10-29,0.4933770000934601,0.4933770000934601,0.4933770000934601,0.4933770000934601,0
2012-10-30,0.4933770000934601,0.4933770000934601,0.4933770000934601,0.4933770000934601,0
2012-10-31,0.4933770000934601,0.4933770000934601,0.4933770000934601,0.4933770000934601,0
2012-11-01,0.4933770000934601,0.4933770000934601,0.4933770000934601,0.4933770000934601,0
2012-11-04,0.4933770000934601,0.4933770000934601,0.4933770000934601,0.4933770000934601,0
2012-11-05,0.4933770000934601,0.4933770000934601,0.4933770000934601,0.4933770000934601,0
2012-11-06,0.4933770000934601,0.4933770000934601,0.4933770000934601,0.4933770000934601,0
2012-11-07,0.4933770000934601,0.4933770000934601,0.4933770000934601,0.4933770000934601,0
2012-11-08,0.4933770000934601,0.4933770000934601,0.4933770000934601,0.4933770000934601,0
2012-11-11,0.4933770000934601,0.4933770000934601,0.4933770000934601,0.4933770000934601,0
2012-11-12,0.4933770000934601,0.4933770000934601,0.4933770000934601,0.4933770000934601,0
2012-11-13,0.4933770000934601,0.4933770000934601,0.4933770000934601,0.4933770000934601,0
2012-11-14,0.4933770000934601,0.4933770000934601,0.4933770000934601,0.4933770000934601,0
2012-11-18,0.4933770000934601,0.4933770000934601,0.4933770000934601,0.4933770000934601,0
2012-11-19,0.4933770000934601,0.4933770000934601,0.4933770000934601,0.4933770000934601,0
2012-11-20,0.4933770000934601,0.4933770000934601,0.4933770000934601,0.4933770000934601,0
2012-11-21,0.4933770000934601,0.4933770000934601,0.4933770000934601,0.4933770000934601,0
2012-11-22,0.4933770000934601,0.4933770000934601,0.4933770000934601,0.4933770000934601,0
2012-11-25,0.4933770000934601,0.4933770000934601,0.4933770000934601,0.4933770000934601,0
2012-11-26,0.4933770000934601,0.4933770000934601,0.4933770000934601,0.4933770000934601,0
2012-11-27,0.4933770000934601,0.4933770000934601,0.4933770000934601,0.4933770000934601,0
2012-11-28,0.4933770000934601,0.4933770000934601,0.4933770000934601,0.4933770000934601,0
2012-11-29,0.4933770000934601,0.4933770000934601,0.4933770000934601,0.4933770000934601,0
2012-12-04,0.4933770000934601,0.4933770000934601,0.4933770000934601,0.4933770000934601,0
2012-12-05,0.4933770000934601,0.4933770000934601,0.4933770000934601,0.4933770000934601,0
2012-12-06,0.4933770000934601,0.4933770000934601,0.4933770000934601,0.4933770000934601,0
2012-12-09,0.4933770000934601,0.4933770000934601,0.4933770000934601,0.4933770000934601,0
2012-12-10,0.4933770000934601,0.4933770000934601,0.4933770000934601,0.4933770000934601,0
2012-12-11,0.4933770000934601,0.4933770000934601,0.4933770000934601,0.4933770000934601,0
2012-12-12,0.4933770000934601,0.4933770000934601,0.4933770000934601,0.4933770000934601,0
2012-12-13,0.4933770000934601,0.4933770000934601,0.4933770000934601,0.4933770000934601,0
2012-12-16,0.4933770000934601,0.4933770000934601,0.4933770000934601,0.4933770000934601,0
2012-12-17,0.4933770000934601,0.4933770000934601,0.4933770000934601,0.4933770000934601,0
2012-12-18,0.4933770000934601,0.4933770000934601,0.4933770000934601,0.4933770000934601,0
2012-12-19,0.4933770000934601,0.4933770000934601,0.4933770000934601,0.4933770000934601,0
2012-12-20,0.4933770000934601,0.4933770000934601,0.4933770000934601,0.4933770000934601,0
2012-12-23,0.4933770000934601,0.4933770000934601,0.4933770000934601,0.4933770000934601,0
2012-12-24,0.4933770000934601,0.4933770000934601,0.4933770000934601,0.4933770000934601,0
2012-12-25,0.4933770000934601,0.4933770000934601,0.4933770000934601,0.4933770000934601,0
2012-12-26,0.4933770000934601,0.4933770000934601,0.4933770000934601,0.4933770000934601,0
2012-12-27,0.4933770000934601,0.4933770000934601,0.4933770000934601,0.4933770000934601,0
2012-12-30,0.4933770000934601,0.4933770000934601,0.4933770000934601,0.4933770000934601,0
2012-12-31,0.4933770000934601,0.4933770000934601,0.4933770000934601,0.4933770000934601,0
2013-01-02,0.4933770000934601,0.4933770000934601,0.4933770000934601,0.4933770000934601,0
2013-01-03,0.4933770000934601,0.4933770000934601,0.4933770000934601,0.4933770000934601,0
2013-01-06,0.4933770000934601,0.4933770000934601,0.4933770000934601,0.4933770000934601,0
2013-01-07,0.4933770000934601,0.4933770000934601,0.4933770000934601,0.4933770000934601,0
2013-01-08,0.4933770000934601,0.4933770000934601,0.4933770000934601,0.4933770000934601,0
2013-01-09,0.4933770000934601,0.4933770000934601,0.4933770000934601,0.4933770000934601,0
2013-01-10,0.4933770000934601,0.4933770000934601,0.4933770000934601,0.4933770000934601,0
2013-01-13,0.4933770000934601,0.4933770000934601,0.4933770000934601,0.4933770000934601,0
2013-01-14,0.4933770000934601,0.4933770000934601,0.4933770000934601,0.4933770000934601,0
2013-01-15,0.4933770000934601,0.4933770000934601,0.4933770000934601,0.4933770000934601,0
2013-01-16,0.4933770000934601,0.4933770000934601,0.4933770000934601,0.4933770000934601,0
2013-01-17,0.4933770000934601,0.4933770000934601,0.4933770000934601,0.4933770000934601,0
2013-01-20,0.4933770000934601,0.4933770000934601,0.4933770000934601,0.4933770000934601,0
2013-01-21,0.4933770000934601,0.4933770000934601,0.4933770000934601,0.4933770000934601,0
2013-01-22,0.4933770000934601,0.4933770000934601,0.4933770000934601,0.4933770000934601,0
2013-01-23,0.4933770000934601,0.4933770000934601,0.4933770000934601,0.4933770000934601,0
2013-01-27,0.4933770000934601,0.4933770000934601,0.4933770000934601,0.4933770000934601,0
2013-01-28,0.4933770000934601,0.4933770000934601,0.4933770000934601,0.4933770000934601,0
2013-01-29,0.4933770000934601,0.4933770000934601,0.4933770000934601,0.4933770000934601,0
2013-01-30,0.4933770000934601,0.4933770000934601,0.4933770000934601,0.4933770000934601,0
2013-01-31,0.4933770000934601,0.4933770000934601,0.4933770000934601,0.4933770000934601,0
2013-02-03,0.4933770000934601,0.4933770000934601,0.4933770000934601,0.4933770000934601,0
2013-02-04,0.4933770000934601,0.4933770000934601,0.4933770000934601,0.4933770000934601,0
2013-02-05,0.4933770000934601,0.4933770000934601,0.4933770000934601,0.4933770000934601,0
2013-02-06,0.4933770000934601,0.4933770000934601,0.4933770000934601,0.4933770000934601,0
2013-02-07,0.4933770000934601,0.4933770000934601,0.4933770000934601,0.4933770000934601,0
2013-02-10,0.4933770000934601,0.4933770000934601,0.4933770000934601,0.4933770000934601,0
2013-02-11,0.4933770000934601,0.4933770000934601,0.4933770000934601,0.4933770000934601,0
2013-02-12,0.4933770000934601,0.4933770000934601,0.4933770000934601,0.4933770000934601,0
2013-02-13,0.4933770000934601,0.4933770000934601,0.4933770000934601,0.4933770000934601,0
2013-02-14,0.4933770000934601,0.4933770000934601,0.4933770000934601,0.4933770000934601,0
2013-02-17,0.4933770000934601,0.4933770000934601,0.4933770000934601,0.4933770000934601,0
2013-02-18,0.4933770000934601,0.4933770000934601,0.4933770000934601,0.4933770000934601,0
2013-02-19,0.4933770000934601,0.4933770000934601,0.4933770000934601,0.4933770000934601,0
2013-02-20,0.4933770000934601,0.4933770000934601,0.4933770000934601,0.4933770000934601,0
2013-02-21,0.4933770000934601,0.4933770000934601,0.4933770000934601,0.4933770000934601,0
2013-02-24,0.4933770000934601,0.4933770000934601,0.4933770000934601,0.4933770000934601,0
2013-02-25,0.4933770000934601,0.4933770000934601,0.4933770000934601,0.4933770000934601,0
2013-02-26,0.4933770000934601,0.4933770000934601,0.4933770000934601,0.4933770000934601,0
2013-02-27,0.4933770000934601,0.4933770000934601,0.4933770000934601,0.4933770000934601,0
2013-02-28,0.4933770000934601,0.4933770000934601,0.4933770000934601,0.4933770000934601,0
2013-03-03,0.4933770000934601,0.4933770000934601,0.4933770000934601,0.4933770000934601,0
2013-03-04,0.4933770000934601,0.4933770000934601,0.4933770000934601,0.4933770000934601,0
2013-03-05,0.4933770000934601,0.4933770000934601,0.4933770000934601,0.4933770000934601,0
2013-03-06,0.4933770000934601,0.4933770000934601,0.4933770000934601,0.4933770000934601,0
2013-03-07,0.4933770000934601,0.4933770000934601,0.4933770000934601,0.4933770000934601,0
2013-03-10,0.4933770000934601,0.4933770000934601,0.4933770000934601,0.4933770000934601,0
2013-03-11,0.4933770000934601,0.4933770000934601,0.4933770000934601,0.4933770000934601,0
2013-03-12,0.4933770000934601,0.4933770000934601,0.4933770000934601,0.4933770000934601,0
2013-03-13,0.4933770000934601,0.4933770000934601,0.4933770000934601,0.4933770000934601,0
2013-03-14,0.4933770000934601,0.4933770000934601,0.4933770000934601,0.4933770000934601,0
2013-03-17,0.4933770000934601,0.4933770000934601,0.4933770000934601,0.4933770000934601,0
2013-03-18,0.4933770000934601,0.4933770000934601,0.4933770000934601,0.4933770000934601,0
2013-03-19,0.4933770000934601,0.4933770000934601,0.4933770000934601,0.4933770000934601,0
2013-03-20,0.4933770000934601,0.4933770000934601,0.4933770000934601,0.4933770000934601,0
2013-03-21,0.4933770000934601,0.4933770000934601,0.4933770000934601,0.4933770000934601,0
2013-03-24,0.4933770000934601,0.4933770000934601,0.4933770000934601,0.4933770000934601,0
2013-03-25,0.4933770000934601,0.4933770000934601,0.4933770000934601,0.4933770000934601,0
2013-03-26,0.4933770000934601,0.4933770000934601,0.4933770000934601,0.4933770000934601,0
2013-03-27,0.4933770000934601,0.4933770000934601,0.4933770000934601,0.4933770000934601,0
2013-03-28,0.4933770000934601,0.4933770000934601,0.4933770000934601,0.4933770000934601,0
2013-03-31,0.4933770000934601,0.4933770000934601,0.4933770000934601,0.4933770000934601,0
2013-04-01,0.4933770000934601,0.4933770000934601,0.4933770000934601,0.4933770000934601,0
2013-04-02,0.4933770000934601,0.4933770000934601,0.4933770000934601,0.4933770000934601,0
2013-04-03,0.4933770000934601,0.4933770000934601,0.4933770000934601,0.4933770000934601,0
2013-04-04,0.4933770000934601,0.4933770000934601,0.4933770000934601,0.4933770000934601,0
2013-04-07,0.4933770000934601,0.4933770000934601,0.4933770000934601,0.4933770000934601,0
2013-04-08,0.4933770000934601,0.4933770000934601,0.4933770000934601,0.4933770000934601,0
2013-04-09,0.4933770000934601,0.4933770000934601,0.4933770000934601,0.4933770000934601,0
2013-04-10,0.4933770000934601,0.4933770000934601,0.4933770000934601,0.4933770000934601,0
2013-04-11,0.4933770000934601,0.4933770000934601,0.4933770000934601,0.4933770000934601,0
2013-04-14,0.4933770000934601,0.4933770000934601,0.4933770000934601,0.4933770000934601,0
2013-04-15,0.4933770000934601,0.4933770000934601,0.4933770000934601,0.4933770000934601,0
2013-04-16,0.4933770000934601,0.4933770000934601,0.4933770000934601,0.4933770000934601,0
2013-04-17,0.4933770000934601,0.4933770000934601,0.4933770000934601,0.4933770000934601,0
2013-04-18,0.4933770000934601,0.4933770000934601,0.4933770000934601,0.4933770000934601,0
2013-04-21,0.4933770000934601,0.4933770000934601,0.4933770000934601,0.4933770000934601,0
2013-04-22,0.4933770000934601,0.4933770000934601,0.4933770000934601,0.4933770000934601,0
2013-04-23,0.4933770000934601,0.4933770000934601,0.4933770000934601,0.4933770000934601,0
2013-04-24,0.4933770000934601,0.4933770000934601,0.4933770000934601,0.4933770000934601,0
2013-04-25,0.4933770000934601,0.4933770000934601,0.4933770000934601,0.4933770000934601,0
2013-04-28,0.4933770000934601,0.4933770000934601,0.4933770000934601,0.4933770000934601,0
2013-04-29,0.4933770000934601,0.4933770000934601,0.4933770000934601,0.4933770000934601,0
2013-04-30,0.4933770000934601,0.4933770000934601,0.4933770000934601,0.4933770000934601,0
2013-05-01,0.4933770000934601,0.4933770000934601,0.4933770000934601,0.4933770000934601,0
2013-05-02,0.4933770000934601,0.4933770000934601,0.4933770000934601,0.4933770000934601,0
2013-05-05,0.4933770000934601,0.4933770000934601,0.4933770000934601,0.4933770000934601,0
2013-05-06,0.4933770000934601,0.4933770000934601,0.4933770000934601,0.4933770000934601,0
2013-05-07,0.4933770000934601,0.4933770000934601,0.4933770000934601,0.4933770000934601,0
2013-05-08,0.4933770000934601,0.4933770000934601,0.4933770000934601,0.4933770000934601,0
2013-05-09,0.4933770000934601,0.4933770000934601,0.4933770000934601,0.4933770000934601,0
2013-05-12,0.4933770000934601,0.4933770000934601,0.4933770000934601,0.4933770000934601,0
2013-05-13,0.4933770000934601,0.4933770000934601,0.4933770000934601,0.4933770000934601,0
2013-05-14,0.4933770000934601,0.4933770000934601,0.4933770000934601,0.4933770000934601,0
2013-05-15,0.4933770000934601,0.4933770000934601,0.4933770000934601,0.4933770000934601,0
2013-05-16,0.4933770000934601,0.4933770000934601,0.4933770000934601,0.4933770000934601,0
2013-05-19,0.4933770000934601,0.4933770000934601,0.4933770000934601,0.4933770000934601,0
2013-05-20,0.4933770000934601,0.4933770000934601,0.4933770000934601,0.4933770000934601,0
2013-05-21,0.4933770000934601,0.4933770000934601,0.4933770000934601,0.4933770000934601,0
2013-05-22,0.4933770000934601,0.4933770000934601,0.4933770000934601,0.4933770000934601,0
2013-05-23,0.4933770000934601,0.4933770000934601,0.4933770000934601,0.4933770000934601,0
2013-05-26,0.4933770000934601,0.4933770000934601,0.4933770000934601,0.4933770000934601,0
2013-05-27,0.4933770000934601,0.4933770000934601,0.4933770000934601,0.4933770000934601,0
2013-05-28,0.4933770000934601,0.4933770000934601,0.4933770000934601,0.4933770000934601,0
2013-05-29,0.4933770000934601,0.4933770000934601,0.4933770000934601,0.4933770000934601,0
2013-05-30,0.4933770000934601,0.4933770000934601,0.4933770000934601,0.4933770000934601,0
2013-06-02,0.4933770000934601,0.4933770000934601,0.4933770000934601,0.4933770000934601,0
2013-06-03,0.4933770000934601,0.4933770000934601,0.4933770000934601,0.4933770000934601,0
2013-06-04,0.4933770000934601,0.4933770000934601,0.4933770000934601,0.4933770000934601,0
2013-06-05,0.4933770000934601,0.4933770000934601,0.4933770000934601,0.4933770000934601,0
2013-06-09,0.4933770000934601,0.4933770000934601,0.4933770000934601,0.4933770000934601,0
2013-06-10,0.4933770000934601,0.4933770000934601,0.4933770000934601,0.4933770000934601,0
2013-06-11,0.4933770000934601,0.4933770000934601,0.4933770000934601,0.4933770000934601,0
2013-06-12,0.4933770000934601,0.4933770000934601,0.4933770000934601,0.4933770000934601,0
2013-06-13,0.4933770000934601,0.4933770000934601,0.4933770000934601,0.4933770000934601,0
2013-06-16,0.4933770000934601,0.4933770000934601,0.4933770000934601,0.4933770000934601,0
2013-06-17,0.4933770000934601,0.4933770000934601,0.4933770000934601,0.4933770000934601,0
2013-06-18,0.4933770000934601,0.4933770000934601,0.4933770000934601,0.4933770000934601,0
2013-06-19,0.4933770000934601,0.4933770000934601,0.4933770000934601,0.4933770000934601,0
2013-06-20,0.4933770000934601,0.4933770000934601,0.4933770000934601,0.4933770000934601,0
2013-06-23,0.4933770000934601,0.4933770000934601,0.4933770000934601,0.4933770000934601,0
2013-06-24,0.4933770000934601,0.4933770000934601,0.4933770000934601,0.4933770000934601,0
2013-06-25,0.4933770000934601,0.4933770000934601,0.4933770000934601,0.4933770000934601,0
2013-06-26,0.4933770000934601,0.4933770000934601,0.4933770000934601,0.4933770000934601,0
